名称,人气
马修·麦康纳,46513 
杰夫·赫普内尔,168 
加布里埃莱·拉维亚,24 
拉吉库马尔·希拉尼,1220 
尼尔·奥布赖恩,2 
大卫·吉亚西,202 
拉杰夫·拉宾德拉纳特安,5 
大卫·奥伊罗,194 
弗朗西斯·X.麦卡蒂,14 
劳拉·琳妮,7399 
希思科特·威廉姆斯,5 
娜塔莎·麦克艾霍恩,3157 
格里芬·弗雷泽,3 
伊莱耶斯·加贝尔,241 
奥米·瓦依达,76 
梅兰尼·蒂埃里,1632 
艾德·哈里斯,8942 
阿尔贝托·巴斯克斯,23 
亚利桑德罗·巴里克,115 
伊斯顿·盖奇,9 
约翰·拉岑贝格,67 
沙拉·鲁宾,4 
阿米尔·汗,48086 
克莱特·惠特克,1 
科里·巴克,16 
沙尔曼·乔希,703 
彼特·道格特,5324 
杰夫·格尔林,60 
阿妮妲·扎格利亚,32 
鲍伯·伯根,7 
诺埃-诺尔,5 
杰夫·皮金,4 
托马斯·布伦门塔尔,5 
博曼·伊拉尼,138 
麦兆辉,3006 
杰斯·哈梅尔,19 
西格妮·韦弗,7338 
让-巴蒂斯特·莫尼耶,5098 
泰奥杜尔·卡雷-卡赛尼,10 
米凯·麦高万,2 
乔治·沙普罗,2 
梁朝伟,55055 
马科森斯·珀林,352 
雅克·贝汉,7186 
拜伦·霍华德,545 
陈冠希,14511 
内特·托伦斯,22 
珍妮弗·李,285 
奥克塔维亚·斯宾瑟,1556 
莫里斯·拉马奇,28 
约翰·拉维尔,5 
汤米·利斯特,23 
莫文蔚,8077 
周星驰,72135 
白承焕,1108 
孔枝泳,36 
许在浩,14 
严孝燮,71 
约翰·马利,67 
阿尔·帕西诺,74969 
比利·怀尔德,27051 
塔莉娅·夏尔,489 
查尔斯·劳顿,2615 
斯蒂夫·康拉德,144 
托林·撒切尔,37545人浏览 · 1篇文章
乔治·张,3 
卡兰·麦克奥利菲,9550 
詹姆斯·凯伦,57 
迈克尔·博萨,2 
斯戴芬妮·斯考特,611 
凯特琳·帕西托,26 
糸井重里,30 
龙田直树,6 
马克·派普罗,33 
马吉·汉,36 
邵茹贞,6 
张天民,19 
卡尔·马图斯维奇,18 
凯文·德·拉·诺伊,1 
艾瑞克·布里登,23 
爱德华德·弗莱彻,12 
娜塔莉·波特曼,104469 
克劳迪奥·阿方西,2 
理查德·塞梅尔,246 
让·雷诺,30913 
马丁·伊斯特,1 
博纳德·福克斯,4 
克雷格·凯利,264 
赛尔乔·比尼·布斯特里克,21 
麦温,628 
吉尔·巴罗尼,2 
朱斯蒂诺·杜拉诺,43 
安东尼奥·普雷斯特,4 
迈克尔·英塞恩,9 
乔治·马丁,2675 
斯蒂文·泽里安,540 
弗朗西斯·古佐,2 
安德烈·瑟韦林,71 
碧翠斯·马科拉,25 
尼可莱塔·布拉斯基,3698 
神木隆之介,8398 
安德烈提多娜,6 
托马斯·肯尼利,26 
拉什·费加,10 
玉井夕海,9 
艾瑞克·阿瓦利,72 
李太力,3 
马尔戈萨·格贝尔,19 
小野武彦,85 
拉斯·霍尔斯道姆,3224 
艾利奥特·佩吉,36910 
安德鲁·尼科尔,4371 
妲露拉·莱莉,10761 
迪利普·劳,73 
弗洛拉·诺兰,21 
莱雅·卡里恩斯,39 
马格努斯·诺兰,4 
泰勒·吉蕾,40 
菅原文太,374 
利亚姆·迪金森,26 
布莱恩·普林格,7 
马特·达蒙,62450 
渡边谦,7059 
约翰·利思戈,850 
费米·依鲁福祖,3 
安德鲁·博尔巴,8 
艾丽莎·奈特,103 
杰森·亚历山大,164 
比尔·努恩,110 
尼古拉·迪·平托,15 
皮特·沃恩,118 
罗伯特·卡普荣,85 
金·凯瑞,37618 
吉姆·里尔顿,22 
安德鲁·斯坦顿,2149 
阿希贾特·乔希,14 
凯文·麦克纳利,146 
蒂姆·罗斯,34799 
安吉洛·迪洛雷塔,1 
西德尼·科尔,5 
约翰·齐甘,2 
罗里·艾伦,27 
马达范,177 
凯茜·纳基麦,62 
雪莉·琳恩,11 
佛莱德·威拉特,66 
热拉尔·朱尼奥,1817 
莫娜·辛格,13 
本·贝尔特,77 
维德胡·维诺德·乔普拉,15 
洛丽·理查德森,1 
保罗·伊丁,7 
弗朗索瓦·贝莱昂,512 
克兰伦斯·威廉姆斯三世,60 
埃里克·德斯玛莱茨,3 
让-保罗·博奈雷,25 
MacInTalk,11 
西里尔·伯尔尼科特,4 
唐纳德·富利洛夫,5 
狄迪尔·弗拉蒙,20 
卡琳娜·卡普尔,2588 
扬·拉布森,1 
曾志伟,4937 
吉姆·瓦德,6 
林家栋,7311 
凯德·麦拉德,662 
庄文强,2607 
勒·惠勒,599 
泰迪·牛顿,28 
珍妮·斯蕾特,458 
菲利普·洛佩斯-屈瓦尔,5 
拉瑞恩·纽曼,32 
菲尔·约翰斯顿,64 
邦尼·亨特,126 
格雷戈里·加迪诺尔,43 
刘伟强,8056 
克里斯托夫·巴拉蒂,1287 
CaroleWeiss,5 
瑞奇·摩尔,561 
西蒙·法戈特,12 
黄秋生,17392 
萧亚轩,1438 
余文乐,11913 
菲利普·杜·詹纳兰德,3 
吉塔·雷迪,8 
凯蒂·洛斯,33 
夏奇拉,878 
郑秀文,7109 
玛丽·布奈尔,215 
吴孟达,10030 
陈慧琳,3597 
伊德里斯·艾尔巴,3402 
乔西·特立尼达,7 
刘镇伟,5891 
金妮弗·古德温,3463 
刘德华,26962 
汤米·钟,87 
马克·史密斯,9 
金贤秀,3406 
唐·雷克,10 
约翰·迪·马吉欧,99 
郑有美,22288 
杰拉德·布什,54 
雷蒙德·S·佩尔西,8 
陆树铭,373 
艾伦·图代克,905 
张素妍,313 
梅利莎·古德温,8 
杰西·科尔蒂,3 
乔希·达拉斯,1133 
彼得·曼斯布里奇,2 
J·K·西蒙斯,6845 
严智星,20 
克里斯汀·贝尔,4099 
黛安·基顿,10729 
孔刘,54339 
蔡少芬,5646 
罗家英,1854 
杰森·贝特曼,3559 
金周灵,314 
艾尔·勒提埃里,17 
