河北省体教融合信息化系统培训成功举办,04-02,/tiyukuaixun/2022/0402/17833.html
发展中心传达学习省体工会和全面从严治党工作会议精神,04-02,/tiyukuaixun/2022/0402/17832.html
学思践悟抓落实 确保打赢翻身仗――自行车中心组织专题会议学习传达省体工会会议精神,04-01,/tiyukuaixun/2022/0401/17829.html
河北省第十六届运动会信息系统线上培训成功举办,03-31,/tiyukuaixun/2022/0331/17820.html
航空中心与保定市发改委接洽推进江城机场开发建设,03-25,/tiyukuaixun/2022/0325/17810.html
奥体中心组织召开主任联席会,03-21,/tiyukuaixun/2022/0321/17792.html
省体育局省地方金融监管局联合召开全省体育企业融资政策线上宣讲对接会,03-21,/tiyukuaixun/2022/0321/17791.html
省体育局系统公文办理和一体化办公平台应用专题培训班举行,03-14,/tiyukuaixun/2022/0314/17774.html
防风险 除隐患 保平安――社体中心举办消防安全知识培训,03-11,/tiyukuaixun/2022/0311/17770.html
主动搭建平台 延伸服务触角 运动技术学校召开膳食保障工作碰头会,03-10,/tiyukuaixun/2022/0310/17764.html
社体中心党支部召开2021年度组织生活会,03-09,/tiyukuaixun/2022/0309/17759.html
自行车中心工会组织女职工开展妇女节健步走活动,03-09,/tiyukuaixun/2022/0309/17756.html
省体育局召开体育彩票工作联系会议,03-04,/tiyukuaixun/2022/0304/17747.html
河北省健身与健康融合中心培训班在石家庄开班,03-04,/tiyukuaixun/2022/0304/17745.html
奥运冠军喊你来上学！河北体育学院射击学院开始招生啦！,02-28,/tiyukuaixun/2022/0228/17739.html
河北省体育局2022年纯洁体育教育讲师培训班圆满结束,02-25,/tiyukuaixun/2022/0225/17734.html
省体育局召开全省体育系统固定资产投资入库入统专题培训会,02-24,/tiyukuaixun/2022/0224/17732.html
省体育局举办竞训干部培训班,02-23,/tiyukuaixun/2022/0223/17720.html
省体育局开展2022年第一期政府采购业务培训,02-23,/tiyukuaixun/2022/0223/17721.html
2022奥体中心春节大联欢全纪录（四）,02-22,/tiyukuaixun/2022/0222/17711.html
2022奥体中心春节大联欢全纪录（三）,02-22,/tiyukuaixun/2022/0222/17710.html
2022奥体中心春节大联欢全纪录（二）,02-22,/tiyukuaixun/2022/0222/17709.html
2022奥体中心春节大联欢全纪录（一）,02-22,/tiyukuaixun/2022/0222/17708.html
体育之城“护航”北京冬奥,02-17,/tiyukuaixun/2022/0217/17701.html
保定市竞秀区区委书记贾瑞生带队到江城机场调研,02-17,/tiyukuaixun/2022/0217/17700.html
“除隐患，保平安，护航冬奥”――河北体育馆组织开展消防安全知识培训和火场逃生演练,02-11,/tiyukuaixun/2022/0211/17688.html
凝心聚力启新程  踔厉奋发向未来 射击射箭中心召开2022年工作谋划务虚会,02-11,/tiyukuaixun/2022/0211/17687.html
群体处召开河北省全民健身信息服务平台专题座谈会,02-11,/tiyukuaixun/2022/0211/17685.html
自行车中心举行十五运周期教练员聘书发放仪式,02-10,/tiyukuaixun/2022/0210/17663.html
法规安监处召开党支部会议安排部署2022年工作,02-10,/tiyukuaixun/2022/0210/17660.html
李东奇看望慰问运动队并督导训练备战,02-08,/tiyukuaixun/2022/0208/17653.html
冬运中心节前慰问长城岭基地闭环管理服务保障一线人员家属,01-30,/tiyukuaixun/2022/0130/17636.html
河北省体育局射击射箭运动中心 举办“喜迎新春 凝聚力量”职工趣味运动会,01-30,/tiyukuaixun/2022/0130/17634.html
喜迎冬奥会，一起向未来 河北省体育局自行车运动中心举办迎新春联欢会,01-30,/tiyukuaixun/2022/0130/17632.html
沐浴感恩的阳光 奔向美好的未来 ――奥体中心举办春节大联欢,01-30,/tiyukuaixun/2022/0130/17631.html
河北省青少年“手拉手”冰雪运动护照合作冰雪场馆基本情况及优惠政策,01-29,/tiyukuaixun/2022/0129/17617.html
扎实开展廉政教育 警钟长鸣筑牢防线,01-28,/tiyukuaixun/2022/0128/17613.html
深入总结备战工作 全面提升服务水平――体科所举行复合型保障团队工作汇报会,01-27,/tiyukuaixun/2022/0127/17607.html
河北体育馆召开安全生产工作会议,01-25,/tiyukuaixun/2022/0125/17598.html
狠抓训练备战 奋力打赢翻身仗――体举柔中心召开“金体举柔”备战第十五届全运会誓师动员大会,01-21,/tiyukuaixun/2022/0121/17590.html
乒羽中心召开十五运周期教练竞聘会议,01-20,/tiyukuaixun/2022/0120/17587.html
河北省体育科学研究所2021年学术报告年会成功举办,01-20,/tiyukuaixun/2022/0120/17588.html
快来投稿！冬奥主题图文征集评选活动启动,01-20,/tiyukuaixun/2022/0120/17586.html
田径中心召开新周期教练员竞聘会,01-18,/tiyukuaixun/2022/0118/17576.html
基建中心党支部组织观看抗美援朝教育电影《长津湖》,01-12,/tiyukuaixun/2022/0112/17567.html
省体育局群众体育处荣获全省文化科技卫生“三下乡”活动优秀团队和示范项目,01-10,/tiyukuaixun/2022/0110/17562.html
线上线下齐参与 徒步健身迎冬奥 2021年健康河北-走进美丽新时代徒步走活动掀起全民健身新高潮,01-07,/tiyukuaixun/2022/0107/17561.html
以史为鉴、开创未来，埋头苦干、勇毅前行――奥体中心党支部组织召开学习贯彻十九届六中全会精神宣讲报告会,01-06,/tiyukuaixun/2022/0106/17560.html
掌握安全技能，提高救援能力――奥体中心组织开展安全急救培训会,01-06,/tiyukuaixun/2022/0106/17559.html
射击射箭中心举行升旗仪式,01-05,/tiyukuaixun/2022/0105/17554.html
社体中心党支部开展“支部联建共创 惠民实事办实处” 主题党日活动,12-31,/tiyukuaixun/2021/1231/17547.html
省体育局组织举办体能教练员职业能力擂台赛,12-28,/tiyukuaixun/2021/1228/17529.html
创新引领  创业筑梦 2021年河北省体育产业创新创业大赛 成功举办,12-25,/tiyukuaixun/2021/1225/17514.html
射击射箭运动中心召开冬训工作会议,12-20,/tiyukuaixun/2021/1220/17481.html
燃烧激情 释放热情 2021年河北省首届线上啦啦操精英赛圆满完成,12-20,/tiyukuaixun/2021/1220/17480.html
省体育局召开冬奥会前安全工作调度会,12-18,/tiyukuaixun/2021/1218/17472.html
2021年河北省体育产业创新创业大赛决赛通知,12-17,/tiyukuaixun/2021/1217/17459.html
2021年河北省青少年冬季阳光体育大会开幕,12-16,/tiyukuaixun/2021/1216/17452.html
河北省科学院一行到省体育科学研究所交流,12-15,/tiyukuaixun/2021/1215/17442.html
2021年河北省女子冰球项目训练营开营,12-14,/tiyukuaixun/2021/1214/17434.html
2021年第二届河北省体育产业创新创业大赛决赛名单公示,12-14,/tiyukuaixun/2021/1214/17417.html
省体育局组织举办中青年教练员培训班,12-13,/tiyukuaixun/2021/1213/17414.html
河北省首届幼儿体育与健康发展论坛成功举办,12-09,/tiyukuaixun/2021/1209/17390.html
【国家宪法日】从出生到年老，宪法是如何守护我们的？,12-04,/tiyukuaixun/2021/1206/17355.html
驻局纪检组组长车军到奥体中心调研,12-03,/tiyukuaixun/2021/1203/17348.html
【宪法宣传周】这组图带你轻松了解宪法知识,12-03,/tiyukuaixun/2021/1206/17354.html
《拼搏的年华》MV欣赏,12-01,/tiyukuaixun/2021/1201/17331.html
省体育局集中收听收看党的十九届六中全会精神中央宣讲团报告会,11-30,/tiyukuaixun/2021/1130/17323.html
法规安监处召开支部会议,11-26,/tiyukuaixun/2021/1126/17305.html
射击射箭中心召开专题会议传达落实全省体育系统安全稳定工作会议精神,11-23,/tiyukuaixun/2021/1123/17286.html
强化安全意识 筑牢安全防线――奥体中心传达学习全省体育系统安全稳定工作会议精神,11-22,/tiyukuaixun/2021/1122/17285.html
河北“冰雪大篷车”为你开启“家门口”的冰雪运动盛宴玩转冰雪，喜迎冬奥，社区乡村“嗨”起来！,11-22,/tiyukuaixun/2021/1122/17284.html
迅速传达 高效落实――省体科所传达落实全省体育系统安全稳定工作会议精神,11-21,/tiyukuaixun/2021/1120/17277.html
河北奥体中心综合训练基地工程提前完成年度计划目标 实现主体结构封顶,11-16,/tiyukuaixun/2021/1116/17253.html
2021年“温暖特布不落”健步走活动在局对口帮扶村成功举办,11-16,/tiyukuaixun/2021/1116/17250.html
摔拳跆中心开展“提士气，谋思路，促发展”大讨论活动,11-12,/tiyukuaixun/2021/1112/17238.html
维护网络安全 做好体育宣传 省体育局举办网络安全和体育宣传培训会,11-12,/tiyukuaixun/2021/1112/17236.html
筑牢思想防线  绷紧自律底线 社体中心党支部开展集体廉政谈话,11-11,/tiyukuaixun/2021/1111/17234.html
《国家体育锻炼标准》达标测试活动正式启动,11-09,/tiyukuaixun/2021/1109/17222.html
体旅齐发力・一起向未来！2021河北省体育旅游示范基地征集启动,11-05,/tiyukuaixun/2021/1105/17210.html
王彪赴河北体育馆督导疫情防控工作,11-04,/tiyukuaixun/2021/1104/17200.html
乒羽中心召开疫情防控工作会议,11-01,/tiyukuaixun/2021/1101/17164.html
“助力冬奥――中俄运动科学论坛”成功举办,10-29,/tiyukuaixun/2021/1029/17160.html
省体育局机关纪委和妇委会联合向领导干部配偶家属发放家庭助廉倡议书,10-29,/tiyukuaixun/2021/1029/17157.html
王彪赴奥体中心督导调研,10-28,/tiyukuaixun/2021/1028/17153.html
为热爱而坚持  因使命而拼搏 一条小视频引发的共鸣,10-28,/tiyukuaixun/2021/1028/17148.html
射击射箭中心召开疫情防控工作专题会,10-27,/tiyukuaixun/2021/1027/17145.html
王彪副局长到部分直属单位检查疫情防控工作,10-27,/tiyukuaixun/2021/1027/17142.html
传递梦想 助力冬奥 “百校万人传冬梦暨2022年北京冬奥会倒计时100天”活动在张家口举办,10-27,/tiyukuaixun/2021/1027/17141.html
冀青讲堂第五期开讲啦!,10-26,/tiyukuaixun/2021/1026/17137.html
【河北冰雪会客厅】小轮子作出大文章,10-25,/tiyukuaixun/2021/1025/17123.html
奥体中心召开紧急会议研究部署疫情防控各项工作,10-25,/tiyukuaixun/2021/1025/17119.html
【河北冰雪会客厅】石家庄轮滑协会公益助力冰雪运动进校园,10-25,/tiyukuaixun/2021/1025/17117.html
乒羽中心召开疫情防控工作会议,10-25,/tiyukuaixun/2021/1025/17116.html
2021年河北省青少年棒球锦标赛（U18组）完美收官,10-22,/tiyukuaixun/2021/1022/17104.html
省体育局2021年职工篮球赛开赛,10-22,/tiyukuaixun/2021/1022/17102.html
【河北冰雪会客厅】大众冰雪 辛集在行动,10-20,/tiyukuaixun/2021/1020/17091.html
运动技术学校开展“不忘初心 团结凝聚”干部职工教育活动,10-20,/tiyukuaixun/2021/1020/17089.html
互学互进促提升 交流探讨共发展,10-20,/tiyukuaixun/2021/1020/17087.html
王春赴崇礼高原（国家综合）训练基地督导改扩建项目建设情况,10-18,/tiyukuaixun/2021/1018/17077.html
【河北冰雪会客厅】冬之梦,10-18,/tiyukuaixun/2021/1018/17075.html
【河北冰雪会客厅】 走进“未来之城”――雄安,10-18,/tiyukuaixun/2021/1018/17074.html
400名＂铁人＂云集2021京津冀铁人三项大赛在河北保定易县圆满举行,10-18,/tiyukuaixun/2021/1018/17072.html
河北省第三届冰雪运动会暨2021-2022赛季河北省青少年短道速滑锦标赛完美收官,10-15,/tiyukuaixun/2021/1015/17068.html
体科所助力“河北省重阳节群众健身活动”,10-14,/tiyukuaixun/2021/1014/17059.html
2021年河北省夏季项目业余训练“精英教练员”培训班开班,10-14,/tiyukuaixun/2021/1014/17056.html
向未来起航―2021年河北省青少年赛艇、皮划艇锦标赛开赛,10-12,/tiyukuaixun/2021/1012/17046.html
河北省“心向冬奥”校园冰雪季启动仪式秦皇岛市北戴河区育花路小学举行,10-08,/tiyukuaixun/2021/1008/17029.html
省体育局举办综合素质培训会,09-30,/tiyukuaixun/2021/0930/17014.html
真冰场上的较量！2021年河北省青少年冰壶锦标赛圆满落幕,09-30,/tiyukuaixun/2021/0930/17013.html
追梦星辰大海――2021年河北省青少年帆船冠军赛圆满落幕,09-27,/tiyukuaixun/2021/0927/16973.html
青训中心组织开展2021年度河北省冬季项目教练员“省培计划”体育教师培训,09-26,/tiyukuaixun/2021/0926/16970.html
青训中心组织开展2021年度河北省冬季项目教练员“省培计划”体育教师培训,09-24,/tiyukuaixun/2021/0924/16955.html
运动技术学校开展第24届普通话推广周活动,09-24,/tiyukuaixun/2021/0924/16954.html
全民健身与奥运同行 2021年河北省“全民健身日”系列活动成功举办,09-20,/tiyukuaixun/2021/0920/16907.html
社体中心“双节”前以案示警开展廉政警示教育活动,09-16,/tiyukuaixun/2021/0916/16870.html
青训中心开展全民国防教育日活动,09-16,/tiyukuaixun/2021/0916/16869.html
防风险除隐患保安全运动技术学校安全生产大排查大整治工作取得成效,09-13,/tiyukuaixun/2021/0913/16835.html
省体育局与河北移动举行战略合作签约仪式,09-10,/tiyukuaixun/2021/0910/16829.html
王春现场调度河北奥体中心综合训练基地项目建设工作,09-10,/tiyukuaixun/2021/0910/16828.html
基建装备中心召开政府采购信息管理系统培训会,09-10,/tiyukuaixun/2021/0910/16826.html
创新思路务实重干河北体彩中心市级中心主任、副主任竞聘工作圆满结束,09-10,/tiyukuaixun/2021/0910/16824.html
“经济强省 美丽河北” 新媒体作品网络推选活动启动,09-09,/tiyukuaixun/2021/0909/16822.html
落实安全要求筑牢安全防线体举柔中心开展全运赛前安全工作大检查,09-09,/tiyukuaixun/2021/0909/16819.html
学消防知识增平安保障大球中心与奥体中心联合进行消防安全知识培训与演练,09-03,/tiyukuaixun/2021/0903/16806.html
群体处召开第十四届全运会群众赛事活动调度会,09-01,/tiyukuaixun/2021/0901/16766.html
省体育局召开离退休老干部座谈会,08-27,/tiyukuaixun/2021/0827/16745.html
学习塞罕坝精神践行节能减排理念,08-27,/tiyukuaixun/2021/0827/16744.html
东京奥运会河北射击健儿凯旋归来,08-27,/tiyukuaixun/2021/0827/16743.html
爱心企业捐赠物资助力河北体育事业,08-27,/tiyukuaixun/2021/0827/16740.html
科医保障助力河北健儿征战全运会,08-27,/tiyukuaixun/2021/0827/16739.html
省体育局召开全面从严治党专题会议,08-27,/tiyukuaixun/2021/0827/16738.html
社体中心党支部召开专题扩大会,08-27,/tiyukuaixun/2021/0827/16737.html
河北省冰雪运动“六个一”示范点 创建工作调度会召开,08-23,/tiyukuaixun/2021/0823/16714.html
聚焦科学训练做好运动心理保障田径中心开展全运会赛前心理专题讲座,08-21,/tiyukuaixun/2021/0821/16713.html
何文革到摔拳跆中心调研座谈,08-21,/tiyukuaixun/2021/0821/16712.html
百年华诞同筑梦医者担当践初心,08-21,/tiyukuaixun/2021/0821/16710.html
冬运中心看望慰问国家集训队运动员亲属,08-19,/tiyukuaixun/2021/0819/16706.html
省属社会类体育协会举办业务交流活动,08-19,/tiyukuaixun/2021/0819/16704.html
省体育局召开2022年预算编制工作动员暨2021年预算执行调度会,08-19,/tiyukuaixun/2021/0819/16699.html
河北省体育局与佑仁生物科技公司举行干细胞移植技术座谈会,08-19,/tiyukuaixun/2021/0819/16698.html
