“羽梦同行”2022年河南省第一届“梦之蓝M6+”杯羽毛球混合团体赛圆满结束,2022-03-10,http://tyj.henan.gov.cn/2022/03-10/2411734.html
省政协机关、省体育局与河南女足开展“三八”节活动,2022-03-10,http://tyj.henan.gov.cn/2022/03-10/2411663.html
超百万人参与冰雪运动 河南燃动热“雪”激情,2022-03-10,http://tyj.henan.gov.cn/2022/03-10/2411659.html
健身庆节日 运动迎“三八”,2022-03-08,http://tyj.henan.gov.cn/2022/03-08/2410261.html
2022年河南省社区运动会省级示范活动巩义站圆满结束,2022-03-07,http://tyj.henan.gov.cn/2022/03-07/2409523.html
“3.5学雷锋日”省社体中心组织社会体育指导员开展全民健身志愿服务活动,2022-03-07,http://tyj.henan.gov.cn/2022/03-07/2409521.html
河南省大众乒乓球公开赛邀您“乒动中原”,2022-03-04,http://tyj.henan.gov.cn/2022/03-04/2408880.html
畅快玩雪，河南大众冰雪嘉年华欢乐落幕,2022-03-04,http://tyj.henan.gov.cn/2022/03-04/2408879.html
超百万人参与冰雪运动！河南燃动热“雪”激情,2022-03-04,http://tyj.henan.gov.cn/2022/03-04/2408524.html
公益之光照亮南阳市民运动场,2022-03-04,http://tyj.henan.gov.cn/2022/03-04/2408513.html
河南举办篮球国家级裁判员体能测试,2022-03-03,http://tyj.henan.gov.cn/2022/03-03/2407764.html
畅快玩雪，河南大众冰雪嘉年华欢乐落幕,2022-03-01,http://tyj.henan.gov.cn/2022/03-01/2406193.html
河南灵宝打造老年体育明星村,2022-03-01,http://tyj.henan.gov.cn/2022/03-01/2406133.html
河南灵宝打造老年体育明星村,2022-03-01,http://tyj.henan.gov.cn/2022/03-01/2406111.html
第六届河南省大众冰雪系列活动暨“与冬奥同行·锦绣中原”2021-2022年度河南省大众冰雪嘉年华活动圆满结束,2022-02-28,http://tyj.henan.gov.cn/2022/02-28/2405957.html
加快推进武术强省功夫河南建设 新一届河南省武协推出“五大举措”,2022-02-28,http://tyj.henan.gov.cn/2022/02-28/2405249.html
