陈凯歌
吃
两辈子
饭
江郎才尽
情有可原
在野
路子
出身
张国荣
面前
学院
张丰毅
显得
单薄
竟
当面
一语
点破
虞姬
真虞姬
霸王
假
真的
电影
人生
真实
深刻
抗战
前夕
文革
那段
历史
时期
命运
凄惨
渗透
一个
细节
包括
忍受
戏班
虐打
孩子
六亲不认
人格
扭曲
更是
展现
极致
最赞
哥哥
表演
悲哀
可怜
蝶衣
心痛
疯魔
成活
人戏
不分
现实
原谅
烂片
心中
永远
不朽
传奇
全世界
角儿
不解
拍
出过
霸王别姬
怎能
拍出
无极
仨
小时
没上
厕所
专注
牛
逼
想不出
词儿
直
gay
来说
终究
祸害
爱
面对
感情
畏畏缩缩
伤
别人
假惺惺
好
蒋雯丽
出场
不到
半小时
角色
诠释
淋漓尽致
陈导
巅峰
之作
优秀
中国
绑架
两个
小人物
活着
起点
终点
往事
提
已多
风雨
记忆
抹
爱与恨
要断
好好
不必
苦苦
追问
消息
爱情
难题
目眩神迷
忘
痛
或许
太不容易
仍
爱意
无能为力
凝视
脸
几亿
爱恋
君王
意气
贱妾
聊生
风华绝代
程蝶衣
海上
钢琴师
主角
一类
国粹
日本
要护
烧
民国
间
故事
最难
捱
段时间
台上
贵妃醉酒
头顶
忽撒下
无数
抗日
传单
灯
骤灭
台下
喧哗
顾及
贵妃
唯有
未尽
绝美
舞步
丝毫
未曾
停滞
混乱
之中
四爷
独自
楼上
包厢
分神
感动
一塌糊涂
结尾处
我本
男儿
郎
女娇
娥
落泪
纯粹
人去
万丈红尘
蹉跌
走过
半世纪
寥落
繁华
不由
十万
春花
如梦里
剑
还给
命
陪
唱
罢
这出
便
离去
...
記得
我標
記過
這部
片子
為
這是
國產電影
開始
誰
結束
菊仙
女人
从此
金鱼
影片
格外
关注
鱼
代表
意义
太多
流泪
水里
无性
水
呼吸
不了
请
昏暗
场地
下午
城头
变幻
大王旗
现当代
史
百年
无可
超越
凱歌
曾
NB
過
那時
風華
絕代
張國榮
還那麼
輕
1993
戛纳
金棕榈
大奖
国际
影评人
华语
唯一
一枝
同学
笑傲
多年
资本
确实
京剧
剧情
发展
主线
更具
艺术性
印象
特别
倾情
演出
一笑
万古
春
一啼
万古愁
2008.12
渴求
悲都
悲
得分
外
妖冶
耗尽
一生
才华
成就
痴情
完整
这部
蛾
柔情似水
剑锋
直指
太多人
小楼
情感
纠缠
恐怕
禁之物
黑暗
一剑
之愿
艳
充满
自我
艺术
热爱
时代
反思
经典
何须
多言
经典之作
一遍
好看
灵动
导演
水准
观众
与其说是
悲欢离合
本身
打动
不如说是
背后
国人
集体
回忆
跌宕起伏
历史背景
衬托
人性
凄美
家国
情怀
骨子里
使命感
单纯
儿女情长
做不来
电博
20081129
次
讲堂
1211
大陆
版
无字幕
无
主题曲
心疼
很大
重合
国产电影
很多
这是
小说
原著
典型
李碧华
恩怨
情仇
锋芒
锐利
改编
成
变得
厚重
沧桑
想来
备受
赞誉
团
葛优
塑造
戏霸
真是太
性格
15
小时候
自然
倒
越
越入
戏
段小楼
个性
颇
厌烦
英雄
皮囊
不懂事
结束
想
听
当爱已
听林
李
版本
那首歌
铺垫
推翻
喜好
张
延续
仿佛
低低的
说话
缠绵悱恻
绕梁三日
重点
时间
流逝
理想主义者
死亡
仅用
演员
形容
戏剧性
潜力
政治
生活
影响
五分
一腔
一调
一画
一景
一颦一笑
角
四个
半个世纪
演技
不用说
每次
人物
水乳交融
分不清
翻译成
再见
妾
实在
太酷
儿
一部
五星
看一遍
执着
认定
一辈子
改变
差
一分
一秒
如戏
可出
可入
却入
戏不出
剧中
何尝
死
悲伤
中总有
太爱
事物
导致
忘记
开来
痛苦
值得
至少
快乐
惊艳
一举手一
投足
满满的
风情
当初
完
哭
压抑
年代
憎厌
无能无力
精致
看过
为数不多
国产
巩俐
吸引
游街
脸上
那种
失落
看透
毫不在乎
表情
深深
震撼
备课
三刷
拿掉
剩下
东西
几分
成色
日后
坏毛病
早就
埋
种子
没
办法
疯子
遇见
成全
干柴烈火
挡不住
所有人
带
颠三倒四
一种
迷人
暴力
少年
戏份
大致
行
一团乱麻
立足点
大有
被动
总因
之变
变
很难
确立
内核
浮于
表面
多变
交织
脱不了
机巧
嫌
做戏
视觉
风格
较为
语言
层面
建树
实
毛病
不愧
几分钟
却是
最深
作品
眼波
流转
风尘
女子
心酸
无奈
一代
不可多得
天生
演绎
喜
怒
伤心
融为一体
欲罢不能
2002
初冬
烟台
转头
功夫
成熟
很痛
血腥
凝固
找不出
合适
抒发
酸楚
喜欢
感谢
推荐
几十年
明明
真
师兄
样子
道理
真想
娱乐圈
文
男主
作者
世界
琢磨
打磨
歌
师傅
总得
回首
经历
变迁
哼唱
豆子
站
热闹
街头
冰糖葫芦
依旧会
恍惚
一瞬
世间
感觉
讽刺
自杀
天
前不久
风月
红色
恋人
第一次
男人
感到
迷恋
愚人节
那天
传来
懵
愣
好久
梗
几年
慢慢
放下
听说
一岁
顺序
拍摄
先学戏
几个
露脸
替身
发生
明星
百万
片酬
标签
证明
有人
此片
野史
存疑
搜索
不错
香港
主动
找
大牌
随便
选
实力
悲凉
几遍
杀伤力
心情
郁闷
难受
是因为
心思
举动
舒服
尴尬
处境
看着
胸闷
习惯
心地善良
大好人
路线
反倒
当中
人使
坏
碰到
失态
夸张
事
很少
泪流满面
一出戏
奈何
从小
被迫
性向
记得
含冤
悲戚
无望
双眼
可悲可叹
这片
真该
激流勇退
留个
美誉
告别
影坛
金盆洗手
永不
碰
胶片
敢爱敢恨
菊
仙
纠结
久
选择
很多年
老师
这段
至今
难以
撼动
别样
情愫
饰演
身为
男子
柔媚
结尾
指向性
极强
背景
乐中
主题
昭然若揭
毁
精妙绝伦
古典
文化
讶异
封禁
君主专制
军阀
专政
人民
到底
恐怖
前任
见
好几部
湄公河
唐人街
探案
复仇者
联盟
侏罗纪
药神
摔跤
爸爸
美丽
10
泰坦尼克号
大话西游
50
似荼
蘼
反复
再现
妖
猫
差距
希望
陈导下
重现
当年
风采
不悔
演虞姬
生
只想
一出
冲突
推动
文化底蕴
社会
剧
大概
引人深思
说句
演得
真好
😭
读
初中
高中
回顾
翻出来
新
感受
说好
少
一分钟
活在
戏中
杰作
那句
一年
一个月
时辰
不算
算是
代表作
👍
💕
某档
综艺节目
重温
衰退
扮相
追求
剧让
见识
风华
一分一秒
很酷
一个个
妈
忠臣
良将
摸样
兵
城外
打去
敢情
欺负
这么久
这句
话
依然
最牛
出彩
入戏
可叹
戏里
戏外
惊人
剧本
写得
太好了
要大赞
纠葛
北洋政府
动荡
血泪
相结合
演绎出
感人肺腑
出色
看得出
大师
镜头
但远
未臻于
化境
本片
成功
元素
如果说
总
满意
说出
揭发
良辰美景
美景
哇哇大哭
悲剧
洪流
幸免
信仰者
出卖
殉道
自由
情节
饱满
残酷
悲情
戏如
戏有
几多
生动
沉重
戏梦
知识分子
囚禁
语境
千百年来
棋子
第五代
植根
土壤
局限
那片
黄土地
脱离
符号化
陈
暴露
贫瘠
品味
保留
善良
太难
而活
聪明
挨
乌合之众
心目
接近
三个
涵盖
近代
演变
不得不
难得
另类
历史剧
重看
加戏
袁
二爷
真爱
嫖客
群惊现
黄磊
吴大维
红卫兵
鬼子
国军
军官
无情
毒打
洗脑
逼迫
承认
女性
实际上
不用
谎言
痛恨
无论是
一点
起源于
真话
欲望
罗伯特
麦基
随随便便
原因
并不知道
从来不
歧视
同性恋
平等
个体
权利
足以
粉丝
灵魂
分等级
拉高
打分
标准
情愿
降低
一颗
星
一份
一段
史诗
解
刨
感悟
半世
浮萍
逝水
一宵
冷雨葬
名花
一秒钟
汗毛
竖
第一流
评论
面面俱到
难理出
一条线
口音
场景
打光
音
过场
张公公
老
师父
青木
配角
经理
小四
众星捧月
三大
全都
写
影评
只能
论文
终于
明白
世人
赋予
永恒
生命
这才
我想
自刎
那一刻
亦
幸福
对望
眸中
生死相许
来世
无怨
迟疑
文化大革命
颠覆
革
批判
打破
固有
学术界
行而上
权力
头脑发热
手中
变味
最终
棒
寂寞
已伤
千年
舞台
决绝
一把
抽出
腰际
宝剑
最美
轮回
一如
错愕
无需
讲述
立住
婊子
戏子
无义
有情有义
认同
片中
奉献给
同性爱
没想到
背叛
悲歌
谁料
毕福剑
唱戏
大霉
传统
中浮
浮
沉沉
叹
一句
活得
旗人
懂戏
劳动
他妈的
不让
我操
大爷
←
笑
尿
想到
投河
老舍
多说无益
豆瓣
1700
虽对
无感
神作
事件
漩涡
挣扎
叙事
推进
生硬
刻意
完美
主演
努力
尊龙
非
科班
妩媚
男同
20171106
台北
金馬
影展
活戏
前才
回到
＂
等于
不仅仅
每看
久久
惋惜
大好
漂亮
胆色
慈爱
凌厉
救
犯病
抱
火堆
捡
思想
旧时代
禁锢
勇敢
崩溃
之际
还护
心
护着
师哥
维系
惊叹
地方
时代特征
描写
铺天盖地
汹涌
简直
大胆
队伍
迎接
军队
戏园
难以忘怀
发现
理解
错误
进
惊讶
三流
基础
开出
花来
2h44min
煎熬
漫长
观影
挺
懂
深爱
不幸
归咎于
对方
舍不得
怪
一分一毫
补标
莫名
张风毅
搭
戏班子
疯狂
-_-#
难看
快
30
年前
文艺片
近
全程
无聊
不愧为
观看
打开
弹幕
感触
更深
骂
无异
事情
高喊
口号
人均
五十万
拜登
经费
退
国籍
250
wen
ge
洗
割裂
说服
拜
感叹
