电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
非常完美,2009,Sofie’s Revenge,爱情,2009-8-13（中国）,韩国/中国,9198.7万
超强台风,2008,Super Typhoon,灾难/动作/惊悚,2008-10-24（中国）,中国,1513.3万
战上海,1959,Zhan Shanghai,战争,1959（中国）,中国,11.6万
Zhang da cheng ren,1900,Zhang da cheng ren,剧情,1997（中国）,中国,无
找乐,1992,Zhao Le,喜剧,1992-2-1（中国）,中国,0.1万
Zhi qu wei hu shan,1900,Zhi qu wei hu shan,音乐/战争,1970（中国）,中国,无
窒息,2005,Suffocation,惊悚,2005-4-8（中国）,中国,无
周渔的火车,2003,Zhou Yu's Train,爱情,2003-2-13（中国）,中国/中国香港,2000.0万
筑梦2008,2008,Dream Weavers: Beijing 2008,纪录片,2008-6-14（中国）,中国,56.6万
紫蝴蝶,2003,Zi hudie,战争,2003-7-25（中国）,中国/法国,301.1万
姊妹花,1934,Zi mei hua,剧情,1934-2-13（中国）,中国,无
自娱自乐,2004,Zi yu zi le,喜剧,2004-5-1（中国）,中国,300.4万
紫日,2001,Ziri,战争,2001-5-17（中国）,中国,无
租期,2006,Lease Wife,爱情,2006-3-17（中国）,中国,39.6万
诅咒,2005,Zu zhou,恐怖,2005-11-4（中国）,中国/中国香港,175.0万
Zui hou yi ge dong ri,1900,Zui hou yi ge dong ri,,1986（中国）,,无
做头,2005,Zuo tou,剧情,2005-3-4（中国）,中国/中国香港,400.4万
左右,2008,In Love We Trust,剧情,2008-4-1（中国）,中国,142.4万
战·鼓,2007,The Drummer,剧情,2007-11-22（中国）,中国香港/中国台湾/德国,229.5万
家有喜事2009,2009,"All's Well, Ends Well 2009",喜剧,2009-1-22（中国）,中国香港/中国,3992.3万
剑蝶,2008,Butterfly Lovers,动作,2008-10-16（中国）,中国香港/中国,2597.4万
了不起的爸爸,2004,Liao Bu Qi De Baba,喜剧,2004-3-26（中国）,中国香港,90.0万
真心话,1900,Zhen xin hua,喜剧/爱情/剧情,2000-2（中国）,中国香港/新加坡,无
中俄列车大劫案,2012,The Train Robbers,动作/悬疑,2012-7-9（中国）,中国香港,1.3万
日落之后,2005,After the Sunset,动作,2005-11-3（中国）,美国,908.6万
爱丽丝梦游仙境,2010,Alice in Wonderland,奇幻/冒险/剧情,2010-3-26（中国）,美国,22897.8万
孤胆义侠,2009,Alone in the Dark,恐怖/动作,2009-3-20（中国）,加拿大/德国/美国,1872.7万
丛林有情狼,2011,Alpha and Omega,动画,2011-2-25（中国）,美国,1516.9万
鼠来宝：明星俱乐部,2010,Alvin and the Chipmunks: The Squeakquel,动画,2010-2-8（中国）,美国,996.1万
狂蟒之灾2：搜寻血兰,2005,Anacondas: The Hunt for the Blood Orchid,恐怖,2005-2-4（中国）,美国,无
花好月圆,2004,Dut hiu yuet yuen,喜剧,2004-1-29（中国）,中国香港,500.1万
挚爱,2005,Embrace your Shadow,爱情,2005-9-15（中国）,中国香港,26.0万
煎炸三宝,2005,Three of a Kind,喜剧,2005-3-4（中国）,中国香港,140.0万
蚁人,2015,Ant-Man,动作/科幻/冒险,2015-10-16（中国）,美国,67176.5万
星际劫难,2005,Ark,动画/动作/剧情/科幻,2005-6-2（中国）,美国/韩国,无
激战运钞车,2011,Armored,动作/惊悚,2011-4-12（中国）,美国,1539.7万
定军山,2006,Ding jun shan,舞台艺术片/艺术片,2006-2-23（中国）,中国,无
八月迷情,2009,August Rush,音乐/爱情/剧情,2009-1-23（中国）,美国,359.1万
狂飙战警,2005,Automatic,剧情,2005-3-4（中国）,美国,150.0万
阿凡达,2010,Avatar,科幻/动作/冒险,2010-1-4（中国）,美国,133989.7万
通天塔,2007,Babel,剧情,2007-3-13（中国）,法国/美国/墨西哥,1504.9万
生死新纪元,2008,Babylon A.D.,科幻/动作/惊悚/冒险,2008-11-17（中国）,美国/法国,1008.1万
临时特工,2002,Bad Company,喜剧,2002-11-21（中国）,美国/捷克,1700.0万
对垒特工,2004,Ballistic: Ecks vs. Sever,动作,2004-6-23（中国）,美国/德国,无
侠盗魅影,2006,Bandidas,动作,2006-6-30（中国）,法国/墨西哥/美国,1000.3万
阿丽塔：战斗天使,2019,Alita: Battle Angel,动作/科幻/冒险,2019-2-22（中国）,美国/加拿大/阿根廷,89536.3万
洛杉矶之战,2011,Battle: Los Angeles,科幻/战争/动作,2011-3-18（中国）,美国,22603.7万
高度怀疑,2010,Beyond a Reasonable Doubt,惊悚/犯罪/悬疑/剧情,2010-6-3（中国）,美国,644.3万
花花型警,2008,Playboy Cops,动作/爱情,2008-2-28（中国）,中国香港/中国,1184.4万
雷霆沙赞！,2019,Shazam!,动作/奇幻/冒险,2019-4-5（中国）,美国,29444.5万
黑狗,2000,Black Dog,动作,2000-7-5（中国）,美国/英国/法国/德国/日本,无
花样年华,2001,Fa yeung nin wa,爱情,2001-3-1（中国）,中国香港/法国,3.2万
闪电狗,2008,Bolt,动画,2008-12-24（中国）,美国,4256.2万
谍影重重3,2007,The Bourne Ultimatum,动作,2007-11-15（中国）,美国/德国,2390.1万
非典人生,2003,Fei Dian Ren Sheng,剧情,2003-9-12（中国）,中国香港,无
飞侠小白龙,2004,Fei hap siu baak lung,动作/喜剧/女性,2004-10-28（中国）,中国香港,200.0万
赛车总动员,2006,Cars,动画,2006-8-22（中国）,美国,2158.5万
赛车总动员2,2011,Cars 2,动画,2011-8-24（中国）,美国,7502.2万
007：大战皇家赌场,2007,Casino Royale,动作/惊悚/冒险,2007-1-29（中国）,美国/英国/德国/捷克,9280.6万
猫鼠游戏,2003,Catch Me If You Can,犯罪,2003-4-11（中国）,美国,无
一线声机,2005,Cellular,惊悚,2005-4-15（中国）,美国/德国,407.4万
乱战,2007,Chaos,惊悚,2007-3-9（中国）,加拿大/英国/美国,1201.1万
致命追踪,2002,The Chaos Factor,动作/战争/惊悚,2002-5-30（中国）,美国,无
霹雳娇娃,2001,Charlie's Angels,动作,2001-2-8（中国）,美国/德国,无
霹雳娇娃2,2003,Charlie's Angels: Full Throttle,动作,2003-8-8（中国）,美国,无
纳尼亚传奇2：凯斯宾王子,2008,"The Chronicles of Narnia: Prince Caspian,",奇幻/冒险,2008-6-6（中国）,英国/美国,6651.3万
纳尼亚传奇,2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",奇幻/冒险,2006-3-8（中国）,美国/英国,6433.2万
