"Fleet","Gear","Year","MonthStart","MonthEnd","iGrid","Grid","Effort","EffortUnits","QualityCode","Source","YFT-NO","YFT-MT","BET-NO","BET-MT","SKJ-NO","SKJ-MT","ALB-NO","ALB-MT","SBF-NO","SBF-MT","LOT-NO","LOT-MT","FRZ-NO","FRZ-MT","KAW-NO","KAW-MT","COM-NO","COM-MT","SWO-NO","SWO-MT","BILL-NO","BILL-MT","TUX-NO","TUX-MT","SKH-NO","SKH-MT","NTAD-NO","NTAD-MT"
"LKA    ","GIOF",2017,9,9,"5100051   ",5100051,1.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2016,3,3,"5100057   ",5100057,3.00,"TRIPS","3","LO",,,,,,0.70,,,,,,,,,,,,,,0.10,,0.20,,,,1.20,,
"LKA    ","GIOF",2016,4,4,"5100057   ",5100057,3.00,"TRIPS","3","LO",,6.50,,,,,,,,,,,,,,,,,,,,,,,,0.40,,
"LKA    ","GIOF",2016,3,3,"5100058   ",5100058,3.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,,,0.10,,,,0.20,,
"LKA    ","GIOF",2016,3,3,"5100059   ",5100059,2.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,0.10,,,,,,0.10,,
"LKA    ","GIOF",2016,4,4,"5100059   ",5100059,3.00,"TRIPS","3","LO",,5.70,,0.10,,,,0.60,,,,,,,,,,,,,,,,,,0.50,,
"MDV    ","LLCO",2017,2,2,"5100060   ",5100060,1350.00,"HOOKS","0","LO",,2.95,,1.70,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,3,3,"5100060   ",5100060,1260.00,"HOOKS","0","LO",,4.29,,0.68,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,5,5,"5100060   ",5100060,3157.00,"HOOKS","0","LO",,2.44,,1.34,,,,,,,,,,,,,,,,0.05,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100062   ",5100062,1.00,"TRIPS","3","LO",,0.10,,,,0.40,,,,,,,,,,,,,,0.10,,0.20,,,,0.10,,
"MDV    ","LLCO",2017,2,2,"5100062   ",5100062,1350.00,"HOOKS","0","LO",,2.05,,1.03,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100063   ",5100063,1.00,"TRIPS","3","LO",,,,,,0.20,,,,,,,,,,,,,,,,0.10,,,,0.10,,
"MDV    ","LLCO",2017,1,1,"5100063   ",5100063,1260.00,"HOOKS","0","LO",,6.17,,4.32,,,,,,,,,,,,,,,,3.80,,,,,,,,
"MDV    ","LLCO",2017,4,4,"5100063   ",5100063,1560.00,"HOOKS","0","LO",,4.00,,3.00,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100065   ",5100065,1.00,"TRIPS","3","LO",,0.10,,,,1.50,,,,,,,,,,,,,,,,0.10,,,,0.20,,
"MDV    ","LLCO",2016,6,6,"5100065   ",5100065,6720.00,"HOOKS","0","LO",,0.14,,0.18,,,,,,,,,,,,,,,,0.34,,0.89,,,,,,
"MDV    ","LLCO",2017,4,4,"5100065   ",5100065,2520.00,"HOOKS","0","LO",,8.66,,5.62,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,9,9,"5100065   ",5100065,1632.00,"HOOKS","0","LO",,11.25,,4.15,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2015,8,8,"5100066   ",5100066,10.00,"TRIPS","0","LO",,0.93,,,,1.90,,,,,,,,,,,,,,,,0.05,,,,0.10,,
"LKA    ","GIOF",2017,4,4,"5100066   ",5100066,1.00,"TRIPS","3","LO",,,,,,0.80,,,,,,,,,,,,,,,,0.70,,,,0.30,,
"MDV    ","LLCO",2017,1,1,"5100066   ",5100066,1645.00,"HOOKS","0","LO",,0.03,,0.02,,,,0.01,,,,,,,,,,,,,,0.05,,,,,,
"MDV    ","LLCO",2017,2,2,"5100066   ",5100066,1350.00,"HOOKS","0","LO",,10.32,,1.82,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,10,10,"5100066   ",5100066,1650.00,"HOOKS","0","LO",,9.80,,3.26,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2014,12,12,"5100067   ",5100067,6000.00,"HOOKS","0","LO",,0.25,,0.55,,,,,,,,,,,,,,,,1.07,,0.02,,,,,,0.01
"MDV    ","LLCO",2016,4,4,"5100067   ",5100067,4800.00,"HOOKS","0","LO",,1.42,,0.23,,0.02,,,,,,,,,,,,,,0.06,,,,,,,,0.04
"MDV    ","LLCO",2016,6,6,"5100067   ",5100067,6000.00,"HOOKS","0","LO",,1.38,,0.12,,,,,,,,,,,,,,,,0.07,,0.14,,,,,,
"MDV    ","LLCO",2016,7,7,"5100067   ",5100067,4448.00,"HOOKS","0","LO",,0.03,,0.21,,,,,,,,,,,,,,,,0.06,,0.27,,,,,,
"MDV    ","LLCO",2016,8,8,"5100067   ",5100067,3136.00,"HOOKS","0","LO",,0.06,,0.27,,,,,,,,,,,,,,,,,,0.37,,,,,,
"MDV    ","LLCO",2017,1,1,"5100067   ",5100067,1480.00,"HOOKS","0","LO",,0.05,,0.02,,,,,,,,,,,,,,,,,,0.14,,,,,,
"MDV    ","LLCO",2017,3,3,"5100067   ",5100067,1645.00,"HOOKS","0","LO",,1.53,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,4,4,"5100067   ",5100067,1632.00,"HOOKS","0","LO",,4.39,,1.92,,,,,,,,,,,,,,,,0.06,,,,,,,,
"MDV    ","LLCO",2017,5,5,"5100067   ",5100067,3000.00,"HOOKS","0","LO",,0.35,,0.50,,,,0.02,,,,,,,,,,,,,,0.20,,,,,,
"MDV    ","LLCO",2017,9,9,"5100067   ",5100067,1600.00,"HOOKS","0","LO",,2.97,,0.72,,,,,,,,,,,,,,,,0.38,,,,,,,,
"MDV    ","LLCO",2017,11,11,"5100067   ",5100067,3300.00,"HOOKS","0","LO",,1.56,,2.57,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2016,3,3,"5100068   ",5100068,16412.00,"HOOKS","0","LO",,11.41,,0.32,,,,,,,,,,,,,,,,,,0.06,,,,,,
"MDV    ","LLCO",2016,4,4,"5100068   ",5100068,1600.00,"HOOKS","0","LO",,0.40,,,,,,,,,,,,,,,,,,,,0.12,,,,,,
"MDV    ","LLCO",2016,5,5,"5100068   ",5100068,6136.00,"HOOKS","0","LO",,0.23,,0.13,,0.01,,,,,,,,,,,,,,0.18,,0.16,,,,,,
"MDV    ","LLCO",2016,6,6,"5100068   ",5100068,8640.00,"HOOKS","0","LO",,4.02,,0.28,,,,1.34,,,,,,,,,,,,,,0.74,,,,,,
"MDV    ","LLCO",2016,7,7,"5100068   ",5100068,2880.00,"HOOKS","0","LO",,,,0.02,,,,,,,,,,,,,,,,0.13,,0.03,,,,,,
"MDV    ","LLCO",2016,8,8,"5100068   ",5100068,9536.00,"HOOKS","0","LO",,,,0.42,,,,,,,,,,,,,,,,0.21,,0.42,,,,,,
"MDV    ","LLCO",2016,9,9,"5100068   ",5100068,11292.00,"HOOKS","0","LO",,0.62,,0.18,,,,,,,,,,,,,,,,0.03,,0.25,,,,,,
"MDV    ","LLCO",2016,11,11,"5100068   ",5100068,4695.00,"HOOKS","0","LO",,0.05,,0.17,,,,,,,,,,,,,,,,0.06,,0.23,,,,,,
"MDV    ","LLCO",2016,12,12,"5100068   ",5100068,13584.00,"HOOKS","0","LO",,1.66,,0.28,,,,,,,,,,,,,,,,0.21,,0.54,,,,,,
"MDV    ","LLCO",2017,1,1,"5100068   ",5100068,16950.00,"HOOKS","0","LO",,3.99,,2.22,,,,0.04,,,,,,,,,,,,0.10,,1.77,,,,,,
"MDV    ","LLCO",2017,2,2,"5100068   ",5100068,1645.00,"HOOKS","0","LO",,0.06,,,,,,,,,,,,,,,,,,,,0.13,,,,,,
"MDV    ","LLCO",2017,3,3,"5100068   ",5100068,6501.00,"HOOKS","0","LO",,2.35,,1.12,,,,,,,,,,,,,,,,,,0.09,,,,,,
"MDV    ","LLCO",2017,4,4,"5100068   ",5100068,18780.00,"HOOKS","0","LO",,3.54,,1.78,,,,,,,,,,,,,,,,,,0.05,,,,,,
"MDV    ","LLCO",2017,5,5,"5100068   ",5100068,15924.00,"HOOKS","0","LO",,9.74,,4.87,,,,0.04,,,,,,,,,,,,0.06,,0.65,,,,,,
"MDV    ","LLCO",2017,7,7,"5100068   ",5100068,1600.00,"HOOKS","0","LO",,2.37,,0.90,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,11,11,"5100068   ",5100068,1645.00,"HOOKS","0","LO",,4.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,12,12,"5100068   ",5100068,1632.00,"HOOKS","0","LO",,0.16,,0.05,,4.0e-03,,,,,,,,,,,,,,0.78,,0.61,,,,,,
"MDV    ","HAND",2013,2,2,"5100069   ",5100069,2.00,"FDAYS","0","LO",,74.60,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,3,3,"5100069   ",5100069,1.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,4,4,"5100069   ",5100069,5.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,5,5,"5100069   ",5100069,1.00,"FDAYS","0","LO",,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,7,7,"5100069   ",5100069,4.00,"FDAYS","0","LO",,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,4,4,"5100069   ",5100069,14.00,"FDAYS","0","LO",,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,12,12,"5100069   ",5100069,26.00,"FDAYS","0","LO",,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,1,1,"5100069   ",5100069,4.00,"FDAYS","0","LO",,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,2,2,"5100069   ",5100069,4.00,"FDAYS","0","LO",,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2013,4,4,"5100069   ",5100069,1.00,"FDAYS","0","LO",,0.06,,0.40,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2013,6,6,"5100069   ",5100069,8.00,"FDAYS","0","LO",,1.28,,7.46,,,,,,,,,,,,,,,,,,0.69,,,,0.36,,
"MDV    ","LLCO",2013,8,8,"5100069   ",5100069,6.00,"FDAYS","0","LO",,2.58,,5.83,,,,,,,,,,,,,,,,,,1.72,,,,0.20,,0.02
"MDV    ","LLCO",2013,9,9,"5100069   ",5100069,2.00,"FDAYS","0","LO",,0.85,,2.24,,,,,,,,,,,,,,,,,,0.35,,,,,,0.01
"MDV    ","LLCO",2013,10,10,"5100069   ",5100069,4.00,"FDAYS","0","LO",,1.26,,2.54,,,,,,,,,,,,,,,,,,0.44,,,,0.02,,0.08
"MDV    ","LLCO",2013,12,12,"5100069   ",5100069,1.00,"FDAYS","0","LO",,0.04,,0.57,,,,,,,,,,,,,,,,,,0.15,,,,,,
"MDV    ","LLCO",2014,10,10,"5100069   ",5100069,2940.00,"HOOKS","0","LO",,0.34,,0.05,,,,0.02,,,,,,,,,,,,,,0.21,,,,,,8.0e-03
"MDV    ","LLCO",2016,2,2,"5100069   ",5100069,2592.00,"HOOKS","0","LO",,0.48,,0.11,,,,,,,,,,,,,,,,0.02,,0.06,,,,,,
"MDV    ","LLCO",2016,3,3,"5100069   ",5100069,14130.00,"HOOKS","0","LO",,7.92,,0.10,,,,0.10,,,,,,,,,,,,,,0.26,,,,,,
"MDV    ","LLCO",2016,4,4,"5100069   ",5100069,45900.00,"HOOKS","0","LO",,16.04,,1.20,,0.34,,,,,,,,,,,,,,0.56,,1.12,,,,,,
"MDV    ","LLCO",2016,6,6,"5100069   ",5100069,13260.00,"HOOKS","0","LO",,0.98,,1.23,,,,0.09,,,,,,,,,,,,0.11,,0.59,,,,,,
"MDV    ","LLCO",2016,7,7,"5100069   ",5100069,27360.00,"HOOKS","0","LO",,0.24,,2.46,,,,,,,,,,,,,,,,1.09,,1.18,,,,,,
"MDV    ","LLCO",2016,8,8,"5100069   ",5100069,1568.00,"HOOKS","0","LO",,0.10,,0.30,,,,,,,,,,,,,,,,,,0.32,,,,,,
"MDV    ","LLCO",2016,9,9,"5100069   ",5100069,22696.00,"HOOKS","0","LO",,1.72,,0.80,,,,,,,,,,,,,,,,0.09,,0.39,,,,,,
"MDV    ","LLCO",2016,10,10,"5100069   ",5100069,10608.00,"HOOKS","0","LO",,0.97,,0.26,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2016,11,11,"5100069   ",5100069,26040.00,"HOOKS","0","LO",,1.16,,2.16,,,,,,,,,,,,,,,,0.20,,0.54,,,,,,
"MDV    ","LLCO",2016,12,12,"5100069   ",5100069,20700.00,"HOOKS","0","LO",,1.37,,0.74,,0.02,,,,,,,,,,,,,,0.73,,1.22,,,,,,
"MDV    ","LLCO",2017,1,1,"5100069   ",5100069,14100.00,"HOOKS","0","LO",,1.95,,0.62,,5.0e-03,,,,,,,,,,,,,,0.73,,1.82,,,,,,
"MDV    ","LLCO",2017,2,2,"5100069   ",5100069,5965.00,"HOOKS","0","LO",,0.74,,0.06,,,,,,,,,,,,,,,,,,0.08,,,,,,
"MDV    ","LLCO",2017,3,3,"5100069   ",5100069,19220.00,"HOOKS","0","LO",,8.50,,1.24,,,,,,,,,,,,,,,,,,0.41,,,,,,
"MDV    ","LLCO",2017,4,4,"5100069   ",5100069,29340.00,"HOOKS","0","LO",,1.56,,2.35,,,,,,,,,,,,,,,,0.11,,0.25,,,,,,
"MDV    ","LLCO",2017,5,5,"5100069   ",5100069,7324.00,"HOOKS","0","LO",,8.19,,2.40,,,,0.02,,,,,,,,,,,,0.07,,0.20,,,,,,
"MDV    ","LLCO",2017,8,8,"5100069   ",5100069,7882.00,"HOOKS","0","LO",,0.71,,0.43,,,,,,,,,,,,,,,,0.10,,0.05,,,,,,
"MDV    ","LLCO",2017,9,9,"5100069   ",5100069,3024.00,"HOOKS","0","LO",,0.32,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,12,12,"5100069   ",5100069,8160.00,"HOOKS","0","LO",,0.59,,0.46,,0.10,,0.06,,,,,,,,,,,,2.80,,1.40,,,,,,
"MDV    ","HAND",2013,2,2,"5100070   ",5100070,7.00,"FDAYS","0","LO",,206.60,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,3,3,"5100070   ",5100070,2.00,"FDAYS","0","LO",,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,4,4,"5100070   ",5100070,6.00,"FDAYS","0","LO",,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,7,7,"5100070   ",5100070,1.00,"FDAYS","0","LO",,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,3,3,"5100070   ",5100070,10.00,"FDAYS","0","LO",,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,4,4,"5100070   ",5100070,5.00,"FDAYS","0","LO",,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,6,6,"5100070   ",5100070,1.00,"FDAYS","0","LO",,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,3,3,"5100070   ",5100070,1.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,1,1,"5100070   ",5100070,6.00,"FDAYS","0","LO",,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,5,5,"5100070   ",5100070,4.00,"FDAYS","0","LO",,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,6,6,"5100070   ",5100070,4.00,"FDAYS","0","LO",,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,8,8,"5100070   ",5100070,5.00,"FDAYS","0","LO",,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2013,4,4,"5100070   ",5100070,6.00,"FDAYS","0","LO",,0.35,,4.61,,,,,,,,,,,,,,,,,,0.17,,,,0.26,,
"MDV    ","LLCO",2013,8,8,"5100070   ",5100070,1.00,"FDAYS","0","LO",,0.12,,0.88,,,,,,,,,,,,,,,,,,0.33,,,,0.20,,0.03
"MDV    ","LLCO",2013,10,10,"5100070   ",5100070,7.00,"FDAYS","0","LO",,0.78,,3.77,,,,,,,,,,,,,,,,,,0.92,,,,0.08,,0.09
"MDV    ","LLCO",2013,12,12,"5100070   ",5100070,1.00,"FDAYS","0","LO",,0.05,,1.46,,,,,,,,,,,,,,,,,,0.23,,,,0.04,,
"MDV    ","LLCO",2014,2,2,"5100070   ",5100070,3000.00,"HOOKS","0","LO",,0.29,,0.11,,,,,,,,,,,,,,,,0.07,,0.23,,,,,,0.01
"MDV    ","LLCO",2014,8,8,"5100070   ",5100070,3000.00,"HOOKS","0","LO",,0.13,,0.73,,5.0e-03,,,,,,,,,,,,,,8.0e-03,,0.16,,,,,,0.01
"MDV    ","LLCO",2014,10,10,"5100070   ",5100070,5670.00,"HOOKS","0","LO",,0.48,,0.49,,,,0.01,,,,,,,,,,,,0.03,,0.18,,,,,,
"MDV    ","LLCO",2015,10,10,"5100070   ",5100070,1200.00,"HOOKS","0","LO",,0.35,,0.09,,,,,,,,,,,,,,,,0.42,,,,,,,,
"MDV    ","LLCO",2015,12,12,"5100070   ",5100070,800.00,"HOOKS","0","LO",,0.12,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2016,1,1,"5100070   ",5100070,3360.00,"HOOKS","0","LO",,0.13,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2016,2,2,"5100070   ",5100070,3888.00,"HOOKS","0","LO",,0.36,,0.55,,,,,,,,,,,,,,,,0.13,,0.04,,,,,,
"MDV    ","LLCO",2016,3,3,"5100070   ",5100070,25028.00,"HOOKS","0","LO",,8.74,,0.32,,0.02,,,,,,,,,,,,,,0.62,,1.13,,,,,,
"MDV    ","LLCO",2016,4,4,"5100070   ",5100070,67382.00,"HOOKS","0","LO",,26.90,,0.43,,,,0.34,,,,,,,,,,,,1.07,,3.86,,,,,,
"MDV    ","LLCO",2016,6,6,"5100070   ",5100070,8640.00,"HOOKS","0","LO",,1.60,,0.39,,,,,,,,,,,,,,,,0.06,,0.72,,,,,,
"MDV    ","LLCO",2016,7,7,"5100070   ",5100070,12240.00,"HOOKS","0","LO",,0.22,,0.11,,,,,,,,,,,,,,,,,,0.77,,,,,,
"MDV    ","LLCO",2016,8,8,"5100070   ",5100070,1440.00,"HOOKS","0","LO",,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
"MDV    ","LLCO",2016,9,9,"5100070   ",5100070,4680.00,"HOOKS","0","LO",,0.34,,0.11,,,,0.02,,,,,,,,,,,,,,0.20,,,,,,
"MDV    ","LLCO",2016,10,10,"5100070   ",5100070,4320.00,"HOOKS","0","LO",,0.13,,0.17,,,,,,,,,,,,,,,,,,0.07,,,,,,
"MDV    ","LLCO",2016,11,11,"5100070   ",5100070,7126.00,"HOOKS","0","LO",,0.97,,0.21,,,,,,,,,,,,,,,,0.17,,0.09,,,,,,
"MDV    ","LLCO",2016,12,12,"5100070   ",5100070,12780.00,"HOOKS","0","LO",,1.08,,0.90,,,,,,,,,,,,,,,,0.48,,0.61,,,,,,
"MDV    ","LLCO",2017,1,1,"5100070   ",5100070,25934.00,"HOOKS","0","LO",,1.09,,0.03,,0.01,,,,,,,,,,,,,,0.36,,1.74,,,,,,
"MDV    ","LLCO",2017,2,2,"5100070   ",5100070,9432.00,"HOOKS","0","LO",,1.19,,0.16,,,,,,,,,,,,,,,,,,0.21,,,,,,
"MDV    ","LLCO",2017,3,3,"5100070   ",5100070,11880.00,"HOOKS","0","LO",,0.97,,1.01,,,,,,,,,,,,,,,,,,0.23,,,,,,
"MDV    ","LLCO",2017,4,4,"5100070   ",5100070,19896.00,"HOOKS","0","LO",,3.54,,0.70,,,,0.02,,,,,,,,,,,,,,0.61,,,,,,
"MDV    ","LLCO",2017,5,5,"5100070   ",5100070,6484.00,"HOOKS","0","LO",,1.05,,0.47,,,,,,,,,,,,,,,,,,0.19,,,,,,
"MDV    ","LLCO",2017,6,6,"5100070   ",5100070,6736.00,"HOOKS","0","LO",,0.62,,0.08,,,,,,,,,,,,,,,,0.02,,0.35,,,,,,
"MDV    ","LLCO",2017,7,7,"5100070   ",5100070,8100.00,"HOOKS","0","LO",,0.84,,0.14,,,,,,,,,,,,,,,,0.10,,0.17,,,,,,
"MDV    ","LLCO",2017,8,8,"5100070   ",5100070,7404.00,"HOOKS","0","LO",,0.66,,0.20,,,,,,,,,,,,,,,,,,0.07,,,,,,
"MDV    ","HAND",2013,2,2,"5100071",5100071,12.00,"FDAYS","0","LO",,257.90,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,3,3,"5100071",5100071,1.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,4,4,"5100071",5100071,6.00,"FDAYS","0","LO",,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,7,7,"5100071",5100071,4.00,"FDAYS","0","LO",,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,8,8,"5100071",5100071,2.00,"FDAYS","0","LO",,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,9,9,"5100071",5100071,10.00,"FDAYS","0","LO",,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,3,3,"5100071",5100071,2.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,4,4,"5100071",5100071,5.00,"FDAYS","0","LO",,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,4,4,"5100071",5100071,4.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,7,7,"5100071",5100071,2.00,"FDAYS","0","LO",,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,2,2,"5100071",5100071,4.00,"FDAYS","0","LO",,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,7,7,"5100071",5100071,11.00,"FDAYS","0","LO",,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,8,8,"5100071",5100071,2.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2017,9,9,"5100071",5100071,3.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2013,10,10,"5100071",5100071,2.00,"FDAYS","0","LO",,0.34,,0.33,,,,,,,,,,,,,,,,,,0.13,,,,0.12,,7.0e-03
"MDV    ","LLCO",2014,10,10,"5100071",5100071,6000.00,"HOOKS","0","LO",,0.31,,0.35,,,,,,,,,,,,,,,,0.05,,0.32,,,,,,0.02
"MDV    ","LLCO",2015,10,10,"5100071",5100071,1200.00,"HOOKS","0","LO",,0.25,,0.06,,,,,,,,,,,,,,,,,,0.30,,,,,,
"MDV    ","LLCO",2017,1,1,"5100071",5100071,1260.00,"HOOKS","0","LO",,1.44,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,5,5,"5100071",5100071,1680.00,"HOOKS","0","LO",,0.21,,,,,,,,,,,,,,,,,,,,0.03,,,,,,
"MDV    ","HAND",2013,1,1,"5100072   ",5100072,6.00,"FDAYS","0","LO",,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,2,2,"5100072   ",5100072,18.00,"FDAYS","0","LO",,131.04,,,,0.52,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,3,3,"5100072   ",5100072,24.00,"FDAYS","0","LO",,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,4,4,"5100072   ",5100072,85.00,"FDAYS","0","LO",,90.88,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,5,5,"5100072   ",5100072,18.00,"FDAYS","0","LO",,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,6,6,"5100072   ",5100072,37.00,"FDAYS","0","LO",,14.17,,,,0.73,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,7,7,"5100072   ",5100072,14.00,"FDAYS","0","LO",,12.60,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,8,8,"5100072   ",5100072,4.00,"FDAYS","0","LO",,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,9,9,"5100072   ",5100072,15.00,"FDAYS","0","LO",,45.84,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,10,10,"5100072   ",5100072,22.00,"FDAYS","0","LO",,67.36,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,11,11,"5100072   ",5100072,37.00,"FDAYS","0","LO",,70.97,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2013,12,12,"5100072   ",5100072,28.00,"FDAYS","0","LO",,68.86,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,1,1,"5100072   ",5100072,1.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,3,3,"5100072   ",5100072,4.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,4,4,"5100072   ",5100072,1.00,"FDAYS","0","LO",,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,5,5,"5100072   ",5100072,6.00,"FDAYS","0","LO",,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,7,7,"5100072   ",5100072,3.00,"FDAYS","0","LO",,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2014,11,11,"5100072   ",5100072,1.00,"FDAYS","0","LO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,4,4,"5100072   ",5100072,6.00,"FDAYS","0","LO",,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,7,7,"5100072   ",5100072,2.00,"FDAYS","0","LO",,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2015,12,12,"5100072   ",5100072,1.00,"FDAYS","0","LO",,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,3,3,"5100072   ",5100072,11.00,"FDAYS","0","LO",,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","HAND",2016,4,4,"5100072   ",5100072,10.00,"FDAYS","0","LO",,15.23,,,,,,,,,,,,,,,,,,,,,,,,,,
