,score,city,comment
69,4.5,深圳,觉得沈腾挺帅的哟😊电影 很不错，继续加油！
70,5.0,武汉,还可以吧……
71,5.0,徐州,好好好，很不错
72,5.0,沈阳,笑点十足，情怀与时代气息兼具。
73,4.5,郑州,赞赞赞重要的事情说三遍
74,5.0,苏州,非常好呀，我感觉很不错，下次还来!
75,5.0,北京,热情周到，主动介绍服务对象和周边环境；住宿条件宽蔽明亮
76,5.0,寿光,"有笑点
有泪点"
77,5.0,清徐,挺好看的，推荐
78,5.0,哈尔滨,好看，很好笑
79,4.5,北京,还不错，喜剧中带着悲剧，
80,4.0,宜昌,虽然荒诞没太大营养 但作为休闲还行
81,5.0,通化,真的好看！！！！
82,5.0,太原,很好看！！！
83,4.5,盐城,炒鸡搞笑〜(￣▽￣〜)
84,5.0,连云港,这个影评资格原来可以保留这么久，最近看了沈腾的西虹市首富，感觉真不错，沈腾是一个喜剧大师
85,5.0,临安,看过，挺好看，😜
86,4.5,库尔勒,讲的很现实，确实现在人但是失去后才懂得珍惜
87,5.0,汕尾,超级好看的啊啊啊啊特别喜欢，搞笑死了
88,4.5,沈阳,挺搞笑的支持
89,4.0,广州,不错，情节切换得很自然
90,4.5,北京,昔日校花秋雅（王智饰）的婚礼正在隆重举行，学生时代暗恋秋雅的夏洛（沈腾 饰）看着周围事业成功的老同学，心中泛起酸味，借着七分醉意大闹婚礼现场，甚至惹得妻子马冬梅（ 马丽 饰）现场发飙，而他发泄过后却在马桶上睡着了。梦里他重回校园，追求到他心爱的女孩、让失望的母亲重展笑颜、甚至成为无所不能的流行乐坛巨星。 醉生梦死中，他发现身边人都在利用自己，只有马冬梅是最值得珍惜的。所以，在他梦醒又回到现实时，再也不愿离开马冬梅，进而衍生出了“夏洛抱”。
91,5.0,长治,好看的电影真的很好看
92,4.5,渭南,沈腾暴打老师那段，简直太解气了
93,4.5,北京,看完开心麻花第三部电影🍅，借机来mark一下2015年看的开心麻花第一部电影，也是看了这部电影之后开启了打卡开心麻花舞台剧之旅，至今已看过《李茶的姑妈》、《牢友记》、《乌龙山伯爵》、《婚前旅行指南》…我属于笑点不高的，所以感觉还不错，全程爆笑了好多次～当时还处在刚和男朋友分手期间，所以最后的《一次就好》把独自去看电影的我眼泪逼出来不少😭现在我老公（嗯就是当时分手的那位男朋友）已经把《一次就好》作为10月份婚礼备选的演唱歌曲😉
