MMSI,BaseDateTime,LAT,LON,SOG,COG
412366332,2019-01-04 05:55:00,34.893061,119.587686,4.32259194,270.902977
412366332,2019-01-04 06:00:00,34.8914517,119.580207,4.48021016,267.435377
412366332,2019-01-04 06:05:00,34.8902591,119.57269,4.8475,279.8075
412366332,2019-01-04 06:10:00,34.8909439,119.567372,5.57071823,295.746409
412366332,2019-01-04 06:15:00,34.8942837,119.573133,4.82486188,89.4756906
412366332,2019-01-04 06:20:00,34.8953157,119.580928,4.73095238,78.8714286
412366332,2019-01-04 06:25:00,34.8956316,119.588498,4.65277778,90.4222222
412366332,2019-01-04 06:30:00,34.8951262,119.595917,4.56333333,104.21
412366332,2019-01-04 06:35:00,34.8950111,119.600849,4.25832743,96.4815734
412366332,2019-01-04 06:40:00,34.8965685,119.60126,3.59922041,80.0676825
412366332,2019-01-04 06:45:00,34.8981259,119.60167,2.94011339,63.6537916
412366332,2019-01-04 06:50:00,34.8996833,119.602081,2.28100638,47.2399008
412366332,2019-01-04 06:55:00,34.9012407,119.602492,1.62189936,30.8260099
412366332,2019-01-04 07:00:00,34.9027895,119.602698,1.17888889,209.043333
412366332,2019-01-04 07:05:00,34.9009036,119.603119,2.39,284.872424
412366332,2019-01-04 07:10:00,34.8960824,119.601665,4.36038781,208.985319
412366332,2019-01-04 07:15:00,34.8934877,119.595946,4.51594684,263.050166
412366332,2019-01-04 07:20:00,34.8932076,119.588402,4.61301939,257.218837
412366332,2019-01-04 07:25:00,34.8938516,119.580488,4.69612188,282.232687
412366332,2019-01-04 07:30:00,34.8950434,119.572723,4.56413302,271.783373
412366332,2019-01-04 07:35:00,34.8949426,119.565811,2.93861893,274.233504
412366332,2019-01-04 07:40:00,34.8942544,119.560992,0.964444444,234.430556
412366332,2019-01-04 07:45:00,34.8950427,119.560498,1.54570637,43.800554
412366332,2019-01-04 07:50:00,34.8952781,119.561099,0.382271468,155.240997
412366332,2019-01-04 07:55:00,34.894987,119.562909,0.44719382,169.35426
412366332,2019-01-04 08:00:00,34.8945981,119.564944,0.740309021,165.38698
412366332,2019-01-04 08:05:00,34.8942092,119.566978,1.03342422,161.4197
412366332,2019-01-04 08:10:00,34.8938202,119.569013,1.32653942,157.45242
412366332,2019-01-04 08:15:00,34.8934312,119.571048,1.61965462,153.48514
412366332,2019-01-04 08:20:00,34.8930421,119.573082,1.91276983,149.51786
412366332,2019-01-04 08:25:00,34.8926531,119.575117,2.20588503,145.550579
412366332,2019-01-04 08:30:00,34.8922639,119.577151,2.49900023,141.583299
412366332,2019-01-04 08:35:00,34.8918748,119.579186,2.79211543,137.616019
412366332,2019-01-04 08:40:00,34.8914856,119.58122,3.08523063,133.648739
412366332,2019-01-04 08:45:00,34.8910964,119.583255,3.37834583,129.681459
412366332,2019-01-04 08:50:00,34.8907071,119.585289,3.67146103,125.714179
412366332,2019-01-04 08:55:00,34.8903179,119.587324,3.96457623,121.746898
412366332,2019-01-04 09:00:00,34.8899285,119.589358,4.25769143,117.779618
412366332,2019-01-04 09:05:00,34.8889918,119.592091,4.41309192,117.338997
412366332,2019-01-04 09:10:00,34.8854444,119.598154,3.91169916,133.717827
412366332,2019-01-04 09:15:00,34.8822743,119.604359,4.38671096,119.985382
