名次,学校名称,所在地区,综合得分,星级排名,办学层次
450,天津美术学院,天津,　,3★,区域一流大学
450,右江民族医学院,广西,　,1★,区域知名大学
453,江苏理工学院,江苏,60.69,1★,区域知名大学
453,九江学院,江西,60.69,1★,区域知名大学
455,哈尔滨体育学院,黑龙江,　,3★,区域一流大学
455,吉林农业科技学院,吉林,60.68,2★,区域高水平大学
455,潍坊医学院,山东,　,2★,区域高水平大学
455,淮阴师范学院,江苏,60.68,1★,区域知名大学
455,盐城师范学院,江苏,60.68,1★,区域知名大学
455,凯里学院,贵州,60.68,1★,区域知名大学
455,黔南民族师范学院,贵州,60.68,1★,区域知名大学
455,太原学院,山西,60.68,1★,区域知名大学
460,北京舞蹈学院,北京,　,5★,中国一流大学
460,成都体育学院,四川,　,4★,中国高水平大学
460,湖北美术学院,湖北,　,3★,区域一流大学
461,昌吉学院,新疆,60.67,1★,区域知名大学
461,贺州学院,广西,60.67,1★,区域知名大学
461,长沙师范学院,湖南,60.67,1★,区域知名大学
464,衢州学院,浙江,60.66,1★,区域知名大学
464,长治学院,山西,60.66,1★,区域知名大学
465,河北体育学院,河北,　,4★,中国高水平大学
465,西安体育学院,陕西,　,3★,区域一流大学
465,山东工艺美术学院,山东,　,3★,区域一流大学
465,南京体育学院,江苏,　,3★,区域一流大学
466,洛阳理工学院,河南,60.65,1★,区域知名大学
466,铜仁学院,贵州,60.65,1★,区域知名大学
468,湖北工程学院,湖北,60.64,2★,区域高水平大学
469,长江师范学院,重庆,60.63,1★,区域知名大学
469,安阳师范学院,河南,60.63,1★,区域知名大学
469,吕梁学院,山西,60.63,1★,区域知名大学
470,山东体育学院,山东,　,3★,区域一流大学
470,浙江传媒学院,浙江,　,3★,区域一流大学
470,山西中医药大学,山西,　,3★,区域一流大学
472,湖北民族大学,湖北,60.62,2★,区域高水平大学
472,淮阴工学院,江苏,60.62,1★,区域知名大学
474,山东交通学院,山东,60.61,3★,区域一流大学
474,黑龙江工程学院,黑龙江,60.61,1★,区域知名大学
474,合肥师范学院,安徽,60.61,1★,区域知名大学
474,盐城工学院,江苏,60.61,1★,区域知名大学
478,文山学院,云南,60.60,1★,区域知名大学
479,河南牧业经济学院,河南,60.59,1★,区域知名大学
480,武汉音乐学院,湖北,　,4★,中国高水平大学
480,常州工学院,江苏,60.58,1★,区域知名大学
481,沈阳工程学院,辽宁,60.57,1★,区域知名大学
481,河北科技师范学院,河北,60.57,1★,区域知名大学
483,丽水学院,浙江,60.56,1★,区域知名大学
483,阜阳师范大学,安徽,60.56,1★,区域知名大学
483,南京晓庄学院,江苏,60.56,1★,区域知名大学
483,南阳师范学院,河南,60.56,1★,区域知名大学
483,保山学院,云南,60.56,1★,区域知名大学
483,六盘水师范学院,贵州,60.56,1★,区域知名大学
489,乐山师范学院,四川,60.55,1★,区域知名大学
489,重庆三峡学院,重庆,60.55,1★,区域知名大学
489,黄山学院,安徽,60.55,1★,区域知名大学
490,山东政法学院,山东,　,3★,区域一流大学
490,中国劳动关系学院,北京,　,2★,区域高水平大学
490,湖北医药学院,湖北,　,2★,区域高水平大学
490,皖南医学院,安徽,　,1★,区域知名大学
490,济宁医学院,山东,　,1★,区域知名大学
492,金陵科技学院,江苏,60.53,1★,区域知名大学
492,徐州工程学院,江苏,60.53,1★,区域知名大学
492,成都工业学院,四川,60.53,1★,区域知名大学
495,中华女子学院,北京,60.52,3★,区域一流大学
495,川北医学院,四川,　,2★,区域高水平大学
495,宜春学院,江西,60.52,1★,区域知名大学
495,齐齐哈尔医学院,黑龙江,　,1★,区域知名大学
495,成都医学院,四川,　,1★,区域知名大学
497,天水师范学院,甘肃,60.51,2★,区域高水平大学
497,湖北科技学院,湖北,60.51,1★,区域知名大学
497,南阳理工学院,河南,60.51,1★,区域知名大学
497,宜宾学院,四川,60.51,1★,区域知名大学
497,河北北方学院,河北,60.51,1★,区域知名大学
497,常熟理工学院,江苏,60.51,1★,区域知名大学
500,四川音乐学院,四川,　,4★,中国高水平大学
500,湖南女子学院,湖南,　,3★,区域一流大学
500,湖南警察学院,湖南,　,3★,区域一流大学
500,山东艺术学院,山东,　,3★,区域一流大学
500,福建警察学院,福建,　,3★,区域一流大学
500,中国消防救援学院,北京,　,2★,区域高水平大学
500,西安医学院,陕西,　,1★,区域知名大学
