,名次,学校名称,所在地区,综合得分,星级排名,办学层次
0,1,北京大学,北京,100.00,8,世界一流大学
1,2,清华大学,北京,98.78,8,世界一流大学
2,3,复旦大学,上海,82.14,8,世界一流大学
3,4,浙江大学,浙江,81.98,8,世界一流大学
4,5,南京大学,江苏,81.43,8,世界一流大学
5,6,上海交通大学,上海,81.34,8,世界一流大学
6,7,华中科技大学,湖北,80.49,7,世界知名高水平大学
7,8,中国科学技术大学,安徽,80.44,8,世界一流大学
8,9,中国人民大学,北京,80.41,8,世界一流大学
9,10,天津大学,天津,80.38,7,世界知名高水平大学
